msync: bootstrapped mach port on wine-3d4b435-msync.
0258:fixme:coreaudio:ca_channel_layout_to_channel_mask Unhandled channel 0xffffffff
0258:fixme:coreaudio:ca_channel_layout_to_channel_mask Unhandled channel 0xffffffff
00c0:fixme:wbemprox:client_security_SetBlanket 00000001ED4A0EE0, 00000000010F59C0, 10, 0, (null), 3, 3, 0000000000000000, 0
00c0:fixme:wbemprox:client_security_Release 00000001ED4A0EE0
00c0:fixme:wbemprox:wbem_services_CreateInstanceEnum unsupported flags 0x30
00c0:fixme:wbemprox:wbem_services_CreateInstanceEnum unsupported flags 0x30
00c0:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\MTBenchmark_Windows.dll" at 000000000C550000: native
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
[D3DMetal:LOG:C835C0] Unsupported API: D3D11 timestamp query
0258:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\propsys.dll" at 0000000263650000: builtin
0258:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\rtworkq.dll" at 00000001FFB10000: builtin
0258:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\mfplat.dll" at 00000003BB450000: builtin
0258:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\mfreadwrite.dll" at 00000002B0A60000: builtin
0258:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\XAudio2_9.dll" at 00000003592F0000: builtin
0258:fixme:coreaudio:ca_channel_layout_to_channel_mask Unhandled channel 0xffffffff
0258:fixme:coreaudio:ca_channel_layout_to_channel_mask Unhandled channel 0xffffffff
0178:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\xinput1_4.dll" at 0000000259D90000: builtin
0214:fixme:cryptasn:CryptDecodeObjectEx Unsupported decoder for lpszStructType 1.3.6.1.4.1.311.2.1.4
0214:fixme:cryptasn:CryptDecodeObjectEx Unsupported decoder for lpszStructType 1.3.6.1.4.1.311.2.1.4
0214:fixme:cryptasn:CryptDecodeObjectEx Unsupported decoder for lpszStructType 1.3.6.1.4.1.311.2.1.4
0214:fixme:cryptasn:CryptDecodeObjectEx Unsupported decoder for lpszStructType 1.3.6.1.4.1.311.2.1.4
00c0:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\telemetry.dll" at 0000000019AD0000: native
027c:fixme:thread:NtSetInformationThread ThreadPowerThrottling stub!
0280:fixme:process:GetProcessMitigationPolicy (FFFFFFFFFFFFFFFF, 4, 000000001B51F238, 4): stub
0194:fixme:toolhelp:CreateToolhelp32Snapshot Unimplemented: heap list snapshot
0194:fixme:toolhelp:Heap32ListFirst : stub
0214:fixme:cryptasn:CryptDecodeObjectEx Unsupported decoder for lpszStructType 1.3.6.1.4.1.311.2.1.4
0214:fixme:cryptasn:CryptDecodeObjectEx Unsupported decoder for lpszStructType 1.3.6.1.4.1.311.2.1.4
02a4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WLDAP32.dll" at 0000000288480000: builtin
02a4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\Normaliz.dll" at 000000000C710000: builtin
02a4:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\HoYoNetworkSDK.dll" at 000000001C530000: native
02a4:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\schannel.dll" at 000000025C0B0000: builtin
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
00c0:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\bthprops.cpl" at 00000003196C0000: builtin
00c0:fixme:bthpropscpl:BluetoothFindFirstDevice (000000000011D090 0000000008B91CD0): stub!
00c0:fixme:setupapi:CM_Get_Parent 000000000011CC54 0x00000000 0x00000000 stub
00c0:fixme:setupapi:CM_Get_Parent 000000000011CC54 0x00000001 0x00000000 stub
02f8:fixme:setupapi:CM_Get_Parent 000000001C6DF204 0x00000000 0x00000000 stub
02f8:fixme:setupapi:CM_Get_Parent 000000001C6DF204 0x00000001 0x00000000 stub
02f8:fixme:bthpropscpl:BluetoothFindFirstDevice (000000001C6DF5B0 0000000008B91CD0): stub!
02f8:fixme:setupapi:CM_Get_Parent 000000001C6DF174 0x00000000 0x00000000 stub
02f8:fixme:setupapi:CM_Get_Parent 000000001C6DF174 0x00000001 0x00000000 stub
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0214:fixme:cryptasn:CryptDecodeObjectEx Unsupported decoder for lpszStructType 1.3.6.1.4.1.311.2.1.4
0214:fixme:cryptasn:CryptDecodeObjectEx Unsupported decoder for lpszStructType 1.3.6.1.4.1.311.2.1.4
0284:fixme:crypt:CRYPT_SysRegOpenStoreW CERT_SYSTEM_STORE_LOCAL_MACHINE_ENTERPRISE, L"ROOT": stub
0284:fixme:crypt:CRYPT_SysRegOpenStoreW CERT_SYSTEM_STORE_LOCAL_MACHINE_ENTERPRISE, L"CA": stub
0284:fixme:crypt:CRYPT_SysRegOpenStoreW CERT_SYSTEM_STORE_LOCAL_MACHINE_ENTERPRISE, L"Disallowed": stub
0284:fixme:crypt:CRYPT_RegControl CERT_STORE_CTRL_AUTO_RESYNC: stub
0284:fixme:crypt:CRYPT_RegControl CERT_STORE_CTRL_AUTO_RESYNC: stub
0284:fixme:crypt:CRYPT_RegControl CERT_STORE_CTRL_AUTO_RESYNC: stub
0284:fixme:crypt:CRYPT_RegControl CERT_STORE_CTRL_AUTO_RESYNC: stub
0284:fixme:wlanapi:WlanEnumInterfaces (0000000000000001, 0000000000000000, 000000001B71E508) semi-stub
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
00c0:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\MiHoYoMTRSDK.dll" at 0000000002D60000: native
0360:fixme:kernelbase:AppPolicyGetThreadInitializationType FFFFFFFFFFFFFFFA, 000000001BF1FE10
0354:err:winediag:WSASocketW Failed to create a socket of type SOCK_RAW, this requires special permissions.
0050:fixme:mountmgr:query_property Unsupported property 0x7
00c0:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\mihoyonet.dll" at 000000001D3E0000: native
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
0050:fixme:nsi:ipv6_forward_enumerate_all not implemented
00c0:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\ZFProxyWeb.dll" at 000000001C420000: native
03fc:fixme:kernelbase:AppPolicyGetThreadInitializationType FFFFFFFFFFFFFFFA, 000000001D0DFE10
0404:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\ZFGameBrowser.exe" at 0000000140000000: native
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernelbase.dll" at 0000000174000000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernel32.dll" at 0000000178000000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ucrtbase.dll" at 00000002C7470000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dbghelp.dll" at 000000023ECB0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WS2_32.dll" at 0000000370F70000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msvcrt.dll" at 0000000228280000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\sechost.dll" at 00000001EAF60000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\advapi32.dll" at 00000001D8C90000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dnsapi.dll" at 0000000296590000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\nsi.dll" at 000000026C190000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\IPHLPAPI.DLL" at 00000003982D0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\version.dll" at 000000025DC30000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\win32u.dll" at 00000002C73A0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\user32.dll" at 00000002169D0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\gdi32.dll" at 00000002BB0A0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\rpcrt4.dll" at 0000000368420000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\combase.dll" at 000000031C5D0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ole32.dll" at 000000020B860000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\OLEAUT32.dll" at 00000001D0E20000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dxgi.dll" at 0000000000790000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msacm32.dll" at 0000000351A60000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WINMM.dll" at 00000002945E0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\PROPSYS.dll" at 0000000263650000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\oleacc.dll" at 00000003B8910000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\UIAutomationCore.DLL" at 000000029DB00000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\Secur32.dll" at 00000003AFEF0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\USERENV.dll" at 0000000244FC0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\NETAPI32.dll" at 00000001D4930000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shcore.dll" at 00000002BDE30000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shlwapi.dll" at 00000002A2380000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\SHELL32.dll" at 000000023BC00000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\bcrypt.dll" at 00000002EE630000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\crypt32.dll" at 00000000007A0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WINTRUST.dll" at 00000002A3D30000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\imm32.dll" at 0000000393730000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\COMCTL32.dll" at 00000002FB3C0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WTSAPI32.dll" at 0000000394BA0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\HID.DLL" at 00000002E0D50000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\chrome_elf.dll" at 0000000000880000: native
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\DWrite.dll" at 00000001DBC50000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dwmapi.dll" at 00000002EF230000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\UxTheme.dll" at 000000026C230000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ncrypt.dll" at 00000002445A0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\USP10.dll" at 0000000010000000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\compstui.dll" at 0000000313390000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WINSPOOL.DRV" at 0000000223D50000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\d3d9.dll" at 00000000009C0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dxva2.dll" at 0000000360D70000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\COMDLG32.dll" at 0000000222ED0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\CRYPTUI.dll" at 000000034B370000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\mpr.dll" at 0000000250CD0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\wininet.dll" at 0000000345640000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\urlmon.dll" at 00000001DE160000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\jsproxy.dll" at 00000002EB680000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WINHTTP.dll" at 00000001EFE00000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\credui.dll" at 00000002B1D60000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dhcpcsvc.DLL" at 0000000259060000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\wevtapi.dll" at 000000032D700000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ESENT.dll" at 000000028A2A0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\zf_cef.dll" at 0000000180000000: native
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\winemac.drv" at 00000000018E0000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\Kerberos.dll" at 00000001CE760000: builtin
0404:err:kerberos:kerberos_LsaApInitializePackage no Kerberos support, expect problems
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\MSV1_0.dll" at 0000000311F40000: builtin
0404:fixme:process:GetProcessMitigationPolicy (FFFFFFFFFFFFFFFF, 4, 000000000011FC88, 4): stub
0404:fixme:thread:get_thread_times not implemented on this platform
0408:fixme:kernelbase:AppPolicyGetThreadInitializationType FFFFFFFFFFFFFFFA, 000000000259FE10
0410:fixme:kernelbase:AppPolicyGetThreadInitializationType FFFFFFFFFFFFFFFA, 000000000279FE10
0404:fixme:heap:RtlSetHeapInformation HEAP_INFORMATION_CLASS 1 not implemented!
0404:fixme:ntdll:EtwEventSetInformation (deadbeef, 2, 000000C0002981B0, 16) stub
0404:fixme:nls:RtlGetThreadPreferredUILanguages 00000038, 000000000011E47C, 0000000000000000 000000000011E478
0404:fixme:nls:get_dummy_preferred_ui_language (0x38 0x804 000000000011E47C 0000000000000000 000000000011E478) returning a dummy value (current locale)
0404:fixme:nls:RtlGetThreadPreferredUILanguages 00000038, 000000000011E47C, 000000000011E460 000000000011E478
0404:fixme:nls:get_dummy_preferred_ui_language (0x38 0x804 000000000011E47C 000000000011E460 000000000011E478) returning a dummy value (current locale)
0404:fixme:ntdll:NtQuerySystemInformation info_class SYSTEM_PERFORMANCE_INFORMATION
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\rsaenh.dll" at 00000001CCDD0000: builtin
0404:trace:loaddll:free_modref Unloaded module L"C:\\windows\\system32\\rsaenh.dll" : builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\rsaenh.dll" at 00000001CCDD0000: builtin
0404:trace:loaddll:free_modref Unloaded module L"C:\\windows\\system32\\rsaenh.dll" : builtin
0404:fixme:winsock:WSALookupServiceBeginW (000000000011DEF0 0xff0 000000000011DF68) Stub!
0404:fixme:iphlpapi:NotifyAddrChange (Handle 000000000011E0C8, overlapped 000000C000314090): stub
2024-10-18 01:37:03.403 wine64-preloader[24717:13123088] +[IMKClient subclass]: chose IMKClient_Legacy
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msctf.dll" at 000000024F110000: builtin
0404:fixme:userenv:RegisterGPNotification 0000000000000208 0
0404:fixme:userenv:RegisterGPNotification 000000000000020C 1
0404:fixme:shcore:IsOS (OS_DOMAINMEMBER) What should we return here?
0438:fixme:wtsapi:WTSRegisterSessionNotification Stub 0000000000010086 0x00000000
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\mmdevapi.dll" at 0000000005A50000: builtin
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\winecoreaudio.drv" at 00000002B0260000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\ZFGameBrowser.exe" at 0000000140000000: native
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernelbase.dll" at 0000000174000000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernel32.dll" at 0000000178000000: builtin
0404:fixme:coreaudio:ca_channel_layout_to_channel_mask Unhandled channel 0xffffffff
0404:fixme:coreaudio:ca_channel_layout_to_channel_mask Unhandled channel 0xffffffff
0404:fixme:coreaudio:ca_channel_layout_to_channel_mask Unhandled channel 0xffffffff
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ucrtbase.dll" at 00000002C7470000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dbghelp.dll" at 000000023ECB0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WS2_32.dll" at 0000000370F70000: builtin
0404:fixme:win:GetPointerDevices (000000000011DAB4 0000000000000000): partial stub
0404:fixme:system:QueryDisplayConfig (00000002 000000000011DA80 000000C000266C20 000000000011DAB4 000000C000372F80 0000000000000000): semi-stub
0404:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\setupapi.dll" at 000000036D860000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msvcrt.dll" at 0000000228280000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\sechost.dll" at 00000001EAF60000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\advapi32.dll" at 00000001D8C90000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dnsapi.dll" at 0000000296590000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\nsi.dll" at 000000026C190000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\IPHLPAPI.DLL" at 00000003982D0000: builtin
0404:fixme:system:NtUserDisplayConfigGetDeviceInfo Unimplemented packet type 11.
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\version.dll" at 000000025DC30000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\win32u.dll" at 00000002C73A0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\user32.dll" at 00000002169D0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\gdi32.dll" at 00000002BB0A0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\rpcrt4.dll" at 0000000368420000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\combase.dll" at 000000031C5D0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ole32.dll" at 000000020B860000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\OLEAUT32.dll" at 00000001D0E20000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dxgi.dll" at 0000000000790000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msacm32.dll" at 0000000351A60000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WINMM.dll" at 00000002945E0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\PROPSYS.dll" at 0000000263650000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\oleacc.dll" at 00000003B8910000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\UIAutomationCore.DLL" at 000000029DB00000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\Secur32.dll" at 00000003AFEF0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\USERENV.dll" at 0000000244FC0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\NETAPI32.dll" at 00000001D4930000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shcore.dll" at 00000002BDE30000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shlwapi.dll" at 00000002A2380000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\SHELL32.dll" at 000000023BC00000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\bcrypt.dll" at 00000002EE630000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\crypt32.dll" at 00000000007A0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WINTRUST.dll" at 00000002A3D30000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\imm32.dll" at 0000000393730000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\COMCTL32.dll" at 00000002FB3C0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WTSAPI32.dll" at 0000000394BA0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\HID.DLL" at 00000002E0D50000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\chrome_elf.dll" at 0000000000880000: native
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\DWrite.dll" at 00000001DBC50000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dwmapi.dll" at 00000002EF230000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\UxTheme.dll" at 000000026C230000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ncrypt.dll" at 00000002445A0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\USP10.dll" at 0000000010000000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\compstui.dll" at 0000000313390000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WINSPOOL.DRV" at 0000000223D50000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\d3d9.dll" at 00000000009C0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dxva2.dll" at 0000000360D70000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\COMDLG32.dll" at 0000000222ED0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\CRYPTUI.dll" at 000000034B370000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\mpr.dll" at 0000000250CD0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\wininet.dll" at 0000000345640000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\urlmon.dll" at 00000001DE160000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\jsproxy.dll" at 00000002EB680000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WINHTTP.dll" at 00000001EFE00000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\credui.dll" at 00000002B1D60000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dhcpcsvc.DLL" at 0000000259060000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\wevtapi.dll" at 000000032D700000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ESENT.dll" at 000000028A2A0000: builtin
0454:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\zf_cef.dll" at 0000000180000000: native
043c:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\wpc.dll" at 00000003A0D20000: builtin
043c:fixme:wpc:WindowsParentalControls_GetUserSettings ((null) 000000000513F570)
0420:fixme:netapi32:NetGetJoinInformation Semi-stub (null) 000000000423F570 000000000423F500
041c:fixme:file:ReplaceFileW Ignoring flags 2
041c:fixme:file:NtLockFile I/O completion on lock not implemented yet
0404:fixme:thread:QueryThreadCycleTime (FFFFFFFFFFFFFFFE,000000000011E270): stub!
00c0:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\MiHoYoSDKUploader.dll" at 0000000037300000: native
0448:fixme:sync:NtSetInformationJobObject stub: 0x34c 4 0x573eff8 4
0480:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\ZFGameBrowser.exe" at 0000000140000000: native
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernelbase.dll" at 0000000174000000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernel32.dll" at 0000000178000000: builtin
041c:fixme:file:ReplaceFileW Ignoring flags 2
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ucrtbase.dll" at 00000002C7470000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dbghelp.dll" at 000000023ECB0000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WS2_32.dll" at 0000000370F70000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msvcrt.dll" at 0000000228280000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\sechost.dll" at 00000001EAF60000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\advapi32.dll" at 00000001D8C90000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dnsapi.dll" at 0000000296590000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\nsi.dll" at 000000026C190000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\IPHLPAPI.DLL" at 00000003982D0000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\version.dll" at 000000025DC30000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\win32u.dll" at 00000002C73A0000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\user32.dll" at 00000002169D0000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\gdi32.dll" at 00000002BB0A0000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\rpcrt4.dll" at 0000000368420000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\combase.dll" at 000000031C5D0000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ole32.dll" at 000000020B860000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\OLEAUT32.dll" at 00000001D0E20000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dxgi.dll" at 0000000000790000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msacm32.dll" at 0000000351A60000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WINMM.dll" at 00000002945E0000: builtin
0480:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\PROPSYS.dll" at 0000000263650000: builtin
0490:trace:loaddll:build_module Loaded L"C:\\HoYoGame\\YuanShen_Data\\Plugins\\ZFGameBrowser.exe" at 0000000140000000: native
